Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,7,AGM,7SE,Loamy,NonMCLO,2,1,20,792.8,0.0,0.0,0.0,60.3,0.0,792.8,74.8,
2013,7,AGM,7SE,Loamy,NonMCLO,2,4,10,1607.1,0.0,0.0,18.8,0.0,0.0,1607.1,143.7,
2013,7,AGM,7SE,Loamy,NonMCLO,2,4,20,606.0,51.7,0.0,158.2,0.0,0.0,657.7,39.8,
2013,7,AGM,7SE,Loamy,NonMCLO,3,1,10,707.2,0.0,0.0,220.1,27.4,0.0,707.2,104.4,
2013,7,AGM,7SE,Loamy,NonMCLO,3,1,20,372.4,193.8,0.0,484.9,0.5,0.0,566.2,234.1,
2013,7,AGM,7SE,Loamy,NonMCLO,3,4,10,262.6,87.7,0.0,782.5,8.6,0.0,350.4,51.7,
2013,7,AGM,7SE,Loamy,NonMCLO,3,4,20,774.5,0.0,0.0,27.4,23.1,0.0,774.5,160.9,
2013,7,AGM,7SE,Salt Flats,(blank),5,1,10,462.8,27.4,0.0,110.3,4.8,170.1,490.3,350.4,
2013,7,AGM,7SE,Salt Flats,(blank),5,1,20,110.3,253.0,0.0,808.4,367.6,0.0,363.3,25.3,
2013,7,AGM,7SE,Salt Flats,(blank),5,4,10,578.0,0.0,2.7,911.2,87.2,0.0,578.0,67.8,
2013,7,AGM,7SE,Salt Flats,(blank),5,4,20,174.4,111.9,0.0,1312.7,36.1,0.0,286.3,33.4,
2013,7,AGM,7SE,Salt Flats,(blank),6,1,10,614.6,73.7,0.0,341.2,11.3,0.0,688.4,606.0,
2013,7,AGM,7SE,Salt Flats,(blank),6,1,20,9.1,1017.7,0.0,171.7,4.3,0.0,1026.9,240.6,
2013,7,AGM,7SE,Salt Flats,(blank),6,4,10,267.5,1458.0,0.0,303.5,4.3,0.0,1725.5,544.1,
2013,7,AGM,7SE,Salt Flats,(blank),6,4,20,159.8,609.2,0.0,266.9,50.6,0.0,769.1,362.7,
2013,7,AGM,7SE,Sandy,(blank),4,1,10,948.3,31.8,0.0,107.6,0.0,0.0,980.1,64.6,
2013,7,AGM,7SE,Sandy,(blank),4,1,20,693.7,72.1,0.0,5.9,0.0,0.0,765.9,277.2,
2013,7,AGM,7SE,Sandy,(blank),4,4,10,445.6,135.1,4.3,195.9,0.0,0.0,580.7,44.7,
2013,7,AGM,7SE,Sandy,(blank),4,4,20,216.4,205.1,0.0,495.1,210.4,0.0,421.4,221.7,
2013,7,TGM,7NW,Loamy,NonMCLO,1,1,10,786.8,0.0,0.0,0.0,1093.1,0.0,786.8,232.5,
2013,7,TGM,7NW,Loamy,NonMCLO,1,1,20,682.4,0.0,0.0,0.0,16.7,0.0,682.4,114.1,
2013,7,TGM,7NW,Loamy,NonMCLO,1,4,10,1057.0,14.0,0.0,0.0,4.8,0.0,1071.0,253.0,
2013,7,TGM,7NW,Loamy,NonMCLO,1,4,20,638.8,0.0,0.0,0.0,33.9,0.0,638.8,149.6,
2013,7,TGM,7NW,Loamy,NonMCLO,2,1,10,158.2,282.0,0.0,0.0,185.1,246.0,440.2,83.4,
2013,7,TGM,7NW,Loamy,NonMCLO,2,1,20,838.5,0.0,0.0,0.0,10.2,0.0,838.5,263.7,
2013,7,TGM,7NW,Loamy,NonMCLO,2,4,10,889.1,0.0,12.4,108.2,12.9,0.0,889.1,151.2,
2013,7,TGM,7NW,Loamy,NonMCLO,2,4,20,886.9,13.5,36.1,0.0,148.5,0.0,900.4,123.2,
2013,7,TGM,7NW,Loamy,NonMCLO,4,1,10,764.2,22.1,8.6,396.7,130.8,0.0,786.3,153.4,
2013,7,TGM,7NW,Loamy,NonMCLO,4,1,20,690.5,10.2,84.5,86.1,3.8,0.0,700.7,126.5,
