"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"TRM","26E","14",151,2013-05-30,2013-09-28,505.92,805.38,121,299.46,2.47487603305785
2013,"TRM","26E","14",162,2013-05-30,2013-09-28,567.3,874.2,121,306.9,2.53636363636364
2013,"TRM","26E","14",438,2013-05-30,2013-09-28,656.58,963.48,121,306.9,2.53636363636364
2013,"TRM","26E","14",455,2013-05-30,2013-09-28,582.18,863.04,121,280.86,2.32115702479339
2013,"TRM","26E","14",687,2013-05-30,2013-09-28,604.5,1002.54,121,398.04,3.2895867768595
2013,"TRM","26E","14",690,2013-05-30,2013-09-28,489.18,823.98,121,334.8,2.76694214876033
2013,"TRM","26E","14",704,2013-05-30,2013-09-28,468.72,833.28,121,364.56,3.01289256198347
2013,"TRM","31E","16",12,2013-05-30,2013-09-28,578.46,820.26,121,241.8,1.99834710743802
2013,"TRM","31E","16",42,2013-05-30,2013-09-28,608.22,810.96,121,202.74,1.67553719008264
2013,"TRM","31E","16",92,2013-05-30,2013-09-28,600.78,846.3,121,245.52,2.02909090909091
2013,"TRM","31E","16",128,2013-05-30,2013-09-28,561.72,837,121,275.28,2.27504132231405
2013,"TRM","31E","16",160,2013-05-30,2013-09-28,647.28,920.7,121,273.42,2.2596694214876
2013,"TRM","31E","16",410,2013-05-30,2013-09-28,522.66,801.66,121,279,2.30578512396694
2013,"TRM","31E","16",467,2013-05-30,2013-09-28,565.44,810.96,121,245.52,2.02909090909091
2013,"TRM","31E","16",505,2013-05-30,2013-09-28,554.28,903.96,121,349.68,2.8899173553719
2013,"TRM","31E","16",521,2013-05-30,2013-09-28,569.16,840.72,121,271.56,2.24429752066116
2013,"TRM","31E","16",655,2013-05-30,2013-09-28,511.5,838.86,121,327.36,2.70545454545455
2013,"TRM","31E","16",697,2013-05-30,2013-09-28,530.1,810.96,121,280.86,2.32115702479339
2013,"TRM","31E","16",703,2013-05-30,2013-09-28,550.56,863.04,121,312.48,2.58247933884298
