Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
17S,6/30/2015,5,25,14,2,bogr,g,0,2
17S,6/30/2015,6,1,22,1,stco,g,0,1
17S,6/30/2015,6,2,18,1,stco,g,0,1
17S,6/30/2015,6,3,24,3,stco,g,0,3
17S,6/30/2015,6,4,32,7,stco,g,0,7
17S,6/30/2015,6,5,23,1,stco,g,0,1
17S,6/30/2015,6,6,32,6,stco,g,0,6
17S,6/30/2015,6,7,21,3,stco,g,0,3
17S,6/30/2015,6,8,6,1,stco,g,0,1
17S,6/30/2015,6,9,11,5,stco,g,0,5
17S,6/30/2015,6,10,24,5,stco,g,0,5
17S,6/30/2015,6,11,28,4,stco,g,0,4
17S,6/30/2015,6,12,22,2,stco,g,0,2
17S,6/30/2015,6,13,18,1,psju,g,0,1
17S,6/30/2015,6,14,34,9,stco,g,0,9
17S,6/30/2015,6,15,34,1,stco,g,0,1
17S,6/30/2015,6,16,30,5,stco,g,0,5
17S,6/30/2015,6,17,25,1,stco,g,0,1
17S,6/30/2015,6,18,36,2,stco,g,0,2
17S,6/30/2015,6,19,18,2,stco,g,0,2
17S,6/30/2015,6,20,21,6,stco,g,0,6
17S,6/30/2015,6,21,11,3,stco,g,0,3
17S,6/30/2015,6,22,52,9,stco,g,0,9
17S,6/30/2015,6,23,12,2,stco,g,0,2
17S,6/30/2015,6,24,20,4,stco,g,0,4
17S,6/30/2015,6,25,18,3,stco,g,0,3
17S,7/9/2015,5,1,5,1,bogr,g,0,1
17S,7/9/2015,5,2,11,1,bogr,g,0,1
17S,7/9/2015,5,3,11,2,pasm,g,0,2
17S,7/9/2015,5,4,6,2,bogr,g,0,2
17S,7/9/2015,5,5,20,5,oppo,g,1,
17S,7/9/2015,5,6,34,7,oppo,g,1,
17S,7/9/2015,5,7,24,1,bogr,g,0,1
17S,7/9/2015,5,8,17,4,sihy,g,0,4
17S,7/9/2015,5,9,12,1,bogr,g,0,1
17S,7/9/2015,5,10,8,1,bogr,g,0,1
17S,7/9/2015,5,11,11,3,bogr,g,0,3
17S,7/9/2015,5,12,19,2,cael,g,0,2
17S,7/9/2015,5,13,14,2,sihy,g,0,2
17S,7/9/2015,5,14,27,6,oppo,g,1,
17S,7/9/2015,5,15,7,2,bogr,g,0,2
17S,7/9/2015,5,16,12,1,bogr,g,0,1
